machine_type,shift,maintenance_done_recently,runtime_hours,production_units,avg_load_pct,temperature_c,vibration_mm_s,idle_minutes,days_since_maintenance,energy_kwh
CNC,Night,Yes,19.94,861,78.0,78.4,4.5,9.2,86,316.6
CNC,Night,No,1.09,1071,70.4,67.7,1.96,59.8,4,267.7
Compressor,Afternoon,No,9.72,1332,95.1,86.7,6.35,31.7,118,334.9
Pump,Night,No,20.9,887,85.4,49.8,0.12,34.9,98,324.9
CNC,Afternoon,Yes,10.04,1098,87.2,50.1,0.88,59.5,45,259.0
Pump,Morning,No,15.08,1029,59.5,57.2,1.36,86.4,110,269.4
Compressor,Morning,No,18.51,950,79.9,79.3,0.75,23.5,56,289.6
CNC,Morning,No,9.68,990,61.6,69.0,0.9,25.7,51,261.3
CNC,Night,No,19.52,550,79.3,74.1,0.3,32.1,24,274.7
Conveyor,Afternoon,No,20.42,499,52.7,43.2,1.2,22.9,117,248.3
CNC,Afternoon,Yes,5.57,1318,79.2,72.1,0.63,82.4,39,288.5
Pump,Night,Yes,1.1,909,62.7,58.3,0.79,5.4,36,213.2
Pump,Morning,Yes,3.35,872,61.1,60.5,2.17,45.6,17,190.2
Conveyor,Afternoon,No,15.07,681,35.9,52.0,0.63,28.8,1,259.8
CNC,Morning,No,10.67,896,69.5,64.9,6.88,20.0,33,283.6
CNC,Morning,No,13.55,790,88.2,57.0,3.43,34.6,14,321.4
CNC,Morning,Yes,13.4,1024,66.7,67.9,2.11,29.4,78,250.9
Compressor,Afternoon,Yes,13.37,1298,97.3,96.3,9.34,45.3,27,383.1
Compressor,Afternoon,No,4.02,568,85.4,103.8,1.85,45.9,40,268.1
CNC,Night,No,8.19,690,94.3,54.5,1.46,46.1,104,300.1
Pump,Afternoon,Yes,8.41,834,44.9,68.9,1.26,80.6,30,238.6
Conveyor,Night,No,11.14,495,47.7,51.0,0.93,43.8,4,157.7
Conveyor,Night,No,1.92,610,61.3,50.8,0.77,46.3,90,213.5
Compressor,Afternoon,No,12.44,1571,100.0,95.4,0.77,49.3,90,374.8
CNC,Afternoon,No,15.75,1207,76.9,66.4,0.62,55.4,18,284.8
Compressor,Morning,No,20.34,1083,100.0,75.5,2.57,67.0,111,355.0
Pump,Night,No,16.62,614,72.7,55.9,1.17,29.6,41,275.8
Conveyor,Afternoon,No,10.62,779,58.0,51.8,0.87,41.0,7,241.8
CNC,Afternoon,No,10.61,1284,75.6,69.5,0.2,45.9,96,310.8
Pump,Afternoon,No,15.3,644,65.8,62.9,2.73,34.2,14,264.0
Pump,Morning,No,15.36,894,62.1,50.4,5.58,30.3,90,293.4
Compressor,Night,Yes,5.77,990,100.0,85.1,7.14,65.2,39,335.2
Compressor,Night,No,23.0,969,77.7,87.5,1.15,65.9,22,371.7
Compressor,Morning,No,7.84,1269,82.4,70.0,0.7,43.6,46,345.7
Compressor,Afternoon,No,15.27,1262,100.0,103.0,4.18,50.4,77,408.8
Compressor,Night,Yes,23.25,1147,80.2,101.1,2.79,38.6,60,377.2
Pump,Morning,No,18.02,642,37.2,65.5,1.72,55.9,40,190.6
Conveyor,Morning,No,15.1,356,65.0,42.7,1.55,51.9,56,212.2
Pump,Morning,No,2.39,1240,73.3,44.7,0.57,47.2,93,244.1
Pump,Night,No,23.07,773,62.1,54.2,2.49,49.3,66,325.0
Compressor,Night,No,12.85,1327,100.0,86.9,7.37,49.3,100,457.5
Compressor,Night,No,20.14,1549,71.0,110.9,1.49,53.7,61,413.2
Pump,Morning,No,16.28,672,64.1,45.2,1.49,29.4,53,238.1
CNC,Afternoon,No,22.46,890,70.7,65.9,2.43,14.6,61,377.4
CNC,Afternoon,Yes,15.15,839,67.0,78.0,6.56,66.9,70,295.1
Conveyor,Night,No,12.31,360,45.8,55.1,3.14,56.3,103,211.4
CNC,Morning,No,16.81,719,86.7,74.1,0.91,34.8,58,326.3
Compressor,Morning,No,1.84,1242,94.6,91.3,2.32,37.8,34,296.5
Compressor,Morning,Yes,1.45,1104,72.9,70.6,0.9,49.8,83,249.7
CNC,Night,No,7.45,1033,80.2,83.2,2.72,85.0,46,325.6
Pump,Night,Yes,13.95,738,66.1,58.2,0.87,65.3,61,248.7
Pump,Afternoon,No,8.1,905,51.0,60.3,2.34,55.0,24,256.9
Pump,Night,No,14.65,704,62.5,78.2,1.81,23.4,93,253.8
Conveyor,Morning,No,10.08,641,42.5,39.7,3.52,60.1,96,212.2
Conveyor,Afternoon,Yes,17.34,823,52.3,48.3,1.04,19.7,100,192.6
CNC,Morning,Yes,23.13,923,55.2,61.8,2.99,53.3,49,280.3
Pump,Afternoon,No,20.93,1111,64.2,70.5,1.12,98.9,37,318.3
Pump,Night,No,23.75,528,44.5,62.8,4.73,70.7,48,317.2
Compressor,Morning,No,20.78,937,100.0,73.0,7.97,27.2,99,388.8
Pump,Afternoon,Yes,14.06,694,42.3,57.2,0.51,50.5,46,230.6
Pump,Morning,No,3.77,741,57.1,50.9,2.1,58.9,14,185.6
Compressor,Night,No,16.4,1592,77.2,96.1,2.13,42.9,100,355.3
Compressor,Afternoon,No,22.16,1410,85.6,70.6,0.82,37.4,51,402.7
Compressor,Afternoon,No,15.58,1222,97.1,80.5,9.46,33.2,96,426.4
Pump,Morning,Yes,12.6,813,73.3,55.9,0.9,29.4,19,246.5
Compressor,Afternoon,No,3.39,834,100.0,87.7,5.18,0.7,55,256.0
CNC,Afternoon,Yes,15.71,978,83.4,53.0,1.44,36.5,33,289.9
Compressor,Morning,No,8.07,1573,80.0,63.4,0.62,61.2,68,310.8
Conveyor,Morning,No,22.32,542,38.3,40.3,2.62,19.9,113,241.1
Pump,Morning,No,17.61,645,75.3,62.2,1.57,39.9,78,287.2
Pump,Afternoon,No,6.95,788,85.8,64.6,2.04,49.2,115,293.0
CNC,Afternoon,No,18.54,1150,35.5,82.5,1.85,40.9,68,294.9
CNC,Morning,No,16.55,1275,63.2,61.8,7.46,67.4,61,290.6
CNC,Night,Yes,2.54,1207,86.5,58.7,3.71,37.6,104,275.9
Compressor,Morning,No,2.7,1044,68.1,90.0,4.07,61.4,47,293.8
Compressor,Afternoon,No,6.02,1706,89.6,87.5,3.43,40.3,55,369.7
CNC,Night,No,5.07,730,53.8,52.4,2.18,52.8,68,192.8
Conveyor,Afternoon,No,23.61,551,58.9,38.6,1.32,42.2,13,193.7
Pump,Night,Yes,16.96,823,57.6,52.2,1.99,88.9,91,233.0
Conveyor,Night,Yes,20.87,494,70.3,51.3,0.76,25.0,34,252.5
Conveyor,Morning,No,7.53,724,51.3,42.3,0.2,35.1,78,208.6
Conveyor,Morning,Yes,14.76,883,51.3,44.5,1.79,14.3,10,169.2
Pump,Morning,No,19.57,797,66.8,55.5,0.99,57.2,103,290.4
CNC,Afternoon,Yes,20.21,443,81.3,63.6,6.33,55.3,24,266.3
Pump,Night,Yes,10.73,755,46.2,71.2,2.19,47.9,39,200.3
Pump,Morning,No,2.6,848,48.4,51.2,1.2,41.1,60,186.9
CNC,Morning,Yes,21.68,955,72.6,74.0,0.85,62.7,17,346.9
Conveyor,Night,No,12.62,589,51.2,53.6,2.06,19.8,43,238.0
CNC,Night,No,20.0,941,42.4,52.7,2.16,102.4,72,285.1
Compressor,Afternoon,Yes,22.76,859,100.0,81.6,0.17,50.2,68,323.3
CNC,Night,No,3.68,956,84.7,73.3,7.87,53.3,41,329.6
Pump,Morning,No,6.48,727,61.1,55.6,1.49,26.1,98,207.5
Pump,Night,No,20.5,668,62.8,59.5,2.57,26.5,51,340.2
Compressor,Afternoon,No,14.42,1626,82.0,85.3,5.32,39.6,19,367.1
Pump,Morning,No,21.55,669,56.7,52.7,1.37,36.4,17,214.5
Pump,Night,Yes,14.44,925,45.2,60.9,0.87,38.2,44,247.4
CNC,Night,No,20.63,1073,66.0,73.9,6.91,25.1,110,345.5
CNC,Morning,Yes,7.36,1199,67.6,58.8,1.87,41.6,90,273.6
Compressor,Afternoon,No,4.2,496,100.0,80.6,4.26,22.0,81,319.2
Compressor,Morning,Yes,21.44,1100,84.2,62.8,3.0,54.3,100,352.1
Compressor,Morning,No,5.59,837,86.1,86.2,7.3,49.1,26,318.9
CNC,Afternoon,No,6.55,952,91.2,61.7,2.59,40.2,108,258.5
CNC,Morning,No,13.09,965,65.3,80.6,6.98,35.0,94,305.2
CNC,Morning,No,2.62,816,64.5,70.4,1.0,68.1,40,266.6
Conveyor,Night,Yes,15.48,900,53.6,41.4,4.11,12.2,81,273.5
Compressor,Afternoon,No,3.16,1374,100.0,75.8,0.61,54.1,56,321.2
Compressor,Night,No,13.34,1010,100.0,89.4,5.19,42.9,17,399.0
Conveyor,Afternoon,No,19.89,967,46.8,56.2,2.68,71.5,7,287.7
Conveyor,Afternoon,Yes,2.49,563,43.1,51.9,1.48,67.9,118,197.7
Compressor,Morning,Yes,17.02,1048,75.4,67.6,1.51,22.4,113,321.3
Pump,Morning,No,19.21,967,59.3,42.6,1.33,41.7,100,240.2
Conveyor,Afternoon,No,1.36,544,53.8,39.8,2.23,20.6,40,192.6
Compressor,Afternoon,Yes,23.22,1168,100.0,57.3,0.42,30.6,29,404.6
Compressor,Night,No,8.27,1200,90.8,93.4,0.13,45.9,67,343.0
CNC,Morning,No,13.51,1242,71.8,61.4,8.45,63.5,93,323.2
Pump,Afternoon,No,23.77,541,51.0,56.6,1.83,50.0,64,210.5
Pump,Afternoon,Yes,23.84,713,72.8,57.9,2.08,57.4,6,281.0
Pump,Morning,No,12.35,918,51.0,52.3,5.53,73.6,58,281.1
Pump,Night,No,16.9,718,71.2,48.8,2.52,67.5,54,285.2
Compressor,Afternoon,No,23.62,1147,74.3,75.8,8.35,36.7,16,404.9
Compressor,Morning,No,8.71,1317,83.2,78.1,3.11,17.0,96,325.9
Conveyor,Morning,No,3.02,599,59.4,38.9,2.5,25.3,108,213.5
CNC,Afternoon,No,21.02,846,79.1,71.1,6.41,33.8,39,336.6
CNC,Afternoon,No,1.08,739,80.4,68.0,0.88,19.6,30,208.7
Compressor,Night,No,20.24,1347,69.1,101.6,6.83,43.2,8,373.1
CNC,Morning,No,22.06,1082,71.1,71.6,4.01,57.2,34,384.0
Pump,Afternoon,Yes,6.29,733,69.3,45.6,3.86,52.7,84,231.6
CNC,Night,No,17.13,945,71.5,71.2,4.51,55.4,82,292.9
Pump,Morning,No,19.79,578,54.8,54.0,0.32,31.8,103,240.3
Pump,Afternoon,No,10.83,908,68.0,70.4,0.76,40.0,35,272.2
Conveyor,Morning,Yes,15.42,563,49.3,37.1,0.88,42.0,49,195.1
Compressor,Night,No,6.96,1200,100.0,94.5,3.65,76.7,74,367.2
Compressor,Morning,No,4.7,1263,100.0,85.1,5.15,23.2,99,397.8
Compressor,Afternoon,No,1.07,1290,73.9,84.8,1.66,22.3,101,261.2
Pump,Afternoon,No,14.45,1195,61.8,58.5,1.82,32.6,106,314.3
Conveyor,Night,No,3.75,705,65.4,53.8,5.51,56.0,35,267.0
CNC,Afternoon,No,19.77,619,56.3,73.6,2.88,25.3,1,261.6
Compressor,Morning,Yes,12.79,1221,83.0,76.8,2.7,74.2,89,372.8
CNC,Afternoon,No,19.18,1076,75.6,70.3,0.67,52.3,2,320.8
Pump,Afternoon,No,6.67,518,51.3,50.7,0.66,59.3,41,140.5
CNC,Afternoon,No,3.15,813,60.9,71.0,1.1,44.1,95,214.5
Compressor,Afternoon,Yes,14.55,1182,81.8,96.3,6.05,34.3,28,360.7
CNC,Night,Yes,21.84,1048,55.9,90.5,2.0,30.0,81,317.5
Pump,Morning,No,10.48,640,80.5,60.7,4.69,70.4,33,277.9
CNC,Afternoon,No,16.03,961,69.7,71.1,0.54,0.0,90,201.2
CNC,Afternoon,No,12.62,987,65.2,74.4,3.57,23.0,114,296.6
Compressor,Night,Yes,15.81,1378,100.0,85.6,1.06,53.6,16,402.1
Pump,Morning,No,19.37,987,66.3,42.5,0.21,55.7,9,263.4
Pump,Afternoon,No,2.39,791,63.1,68.1,1.43,52.1,17,256.8
Compressor,Morning,Yes,18.21,1479,84.3,76.2,4.01,27.6,29,377.8
Pump,Night,No,21.56,678,40.8,50.6,0.89,36.0,77,280.4
CNC,Morning,No,19.0,840,62.3,69.2,0.81,34.5,36,288.9
Conveyor,Night,No,22.85,628,56.1,43.6,2.25,29.1,83,235.1
Pump,Night,No,9.65,598,50.2,52.9,1.48,62.8,115,272.5
CNC,Morning,No,11.4,895,71.2,67.6,7.34,92.9,87,308.3
CNC,Afternoon,No,18.08,982,67.1,50.9,7.88,43.1,71,328.5
Pump,Morning,No,5.44,944,48.4,54.7,3.62,63.7,13,198.1
CNC,Afternoon,No,6.16,998,66.8,65.7,6.92,90.7,55,315.6
Compressor,Morning,No,11.24,1291,100.0,68.8,0.66,46.9,90,343.6
Conveyor,Afternoon,Yes,13.56,725,46.6,36.5,2.67,41.9,1,205.7
Compressor,Night,No,17.36,786,100.0,66.1,1.61,31.1,71,351.1
CNC,Morning,No,8.27,917,96.5,67.6,4.17,57.5,112,284.6
CNC,Afternoon,No,12.16,1116,58.4,62.9,0.28,97.3,4,264.4
Compressor,Afternoon,Yes,8.25,1328,89.5,84.2,2.31,66.1,86,344.9
Compressor,Night,No,8.74,1355,100.0,95.7,4.02,51.1,57,398.0
Compressor,Afternoon,No,1.7,1180,82.7,86.2,7.96,47.0,50,258.0
Compressor,Morning,No,19.55,1289,100.0,77.5,2.87,51.6,25,399.5
Pump,Night,No,16.01,723,62.6,83.9,2.07,72.9,78,312.8
Pump,Afternoon,No,15.16,384,48.8,54.2,0.92,35.7,43,218.7
Conveyor,Morning,No,11.41,768,53.0,41.9,1.23,22.4,7,211.1
CNC,Night,No,16.27,1111,86.6,98.5,2.02,52.2,81,322.6
Pump,Afternoon,No,6.21,608,57.0,50.7,3.36,68.5,54,231.0
Pump,Afternoon,No,10.3,718,44.9,64.5,0.47,45.3,49,183.7
Conveyor,Morning,Yes,2.46,518,57.7,53.5,1.67,32.6,20,163.9
Pump,Afternoon,No,1.92,972,72.0,51.6,2.24,38.3,49,259.8
CNC,Afternoon,No,1.15,736,66.5,62.2,3.24,47.2,89,241.7
Conveyor,Morning,No,11.11,741,46.4,50.4,0.43,35.0,85,166.6
Pump,Afternoon,No,23.01,637,67.2,55.6,3.69,74.1,33,269.4
Pump,Night,No,3.52,1051,65.8,52.6,1.75,62.9,16,232.9
Pump,Afternoon,No,16.98,891,80.6,67.9,2.78,57.8,18,270.8
CNC,Morning,No,3.11,975,64.9,50.2,6.43,46.4,35,236.1
Pump,Morning,Yes,17.47,573,53.3,48.7,1.01,57.5,48,225.7
Compressor,Morning,No,23.04,1480,100.0,81.7,1.02,10.5,64,472.6
Pump,Night,No,15.63,774,72.3,61.8,2.28,59.7,76,244.1
Pump,Morning,No,3.89,527,63.3,49.8,3.03,12.6,99,230.3
CNC,Morning,Yes,21.64,957,72.8,63.9,1.91,55.6,61,276.7
Conveyor,Night,No,8.95,751,60.9,56.7,2.84,47.9,103,251.0
Conveyor,Night,No,7.75,734,55.1,50.4,1.43,54.4,51,217.7
Compressor,Afternoon,No,2.96,1298,100.0,78.6,2.84,55.1,114,300.5
Compressor,Morning,No,12.62,1278,82.7,71.8,3.66,33.2,112,300.7
Conveyor,Morning,No,9.03,663,52.8,42.8,0.83,45.6,46,207.9
CNC,Afternoon,No,20.09,1123,92.3,89.0,1.55,15.8,49,378.0
CNC,Morning,No,1.53,805,88.3,72.2,5.12,52.0,111,259.9
CNC,Night,No,7.33,632,66.6,72.7,1.98,66.0,87,248.7
Compressor,Morning,Yes,21.15,1100,78.1,82.5,5.6,40.7,106,392.6
CNC,Night,No,9.08,929,52.0,77.1,2.73,22.2,101,252.9
Compressor,Night,No,18.98,888,88.0,90.2,3.06,4.0,64,349.9
CNC,Morning,Yes,22.12,885,86.7,69.9,2.98,62.9,6,364.4
CNC,Night,No,13.86,557,50.6,74.3,1.8,42.8,19,262.4
Conveyor,Afternoon,No,18.41,561,45.5,42.7,0.98,39.0,1,250.5
Pump,Night,No,15.56,893,48.8,63.5,0.75,68.4,43,251.3
Compressor,Night,No,10.67,882,98.7,97.2,0.8,43.7,45,336.0
Pump,Morning,Yes,1.92,699,47.8,57.6,3.66,65.1,7,212.3
Compressor,Night,No,3.36,1323,90.0,111.6,8.19,45.5,58,396.2
Conveyor,Morning,No,15.45,834,41.7,43.0,0.65,35.8,58,236.1
Compressor,Night,Yes,9.1,1269,100.0,79.2,3.56,76.0,111,333.9
Pump,Morning,No,7.56,484,60.7,53.5,3.27,63.4,46,204.7
CNC,Morning,No,21.98,902,55.6,72.6,0.59,68.2,36,331.0
Compressor,Morning,No,15.77,1455,84.3,87.9,0.47,52.4,61,380.1
Pump,Afternoon,Yes,20.17,676,69.6,52.0,1.67,0.0,70,293.5
Conveyor,Morning,No,2.91,716,64.3,54.2,0.72,33.7,81,207.8
Compressor,Morning,No,5.8,1234,100.0,79.3,2.7,62.7,29,349.0
Compressor,Morning,No,7.93,715,87.6,86.1,2.26,67.2,85,306.2
Compressor,Morning,No,17.17,1002,98.7,75.7,4.63,55.3,61,291.0
Compressor,Afternoon,No,19.57,914,100.0,77.9,1.96,60.9,79,376.5
Pump,Night,No,12.71,745,63.1,55.3,2.37,59.4,111,268.2
Pump,Afternoon,No,18.19,872,80.3,59.2,3.5,35.2,93,368.9
Compressor,Morning,No,15.52,1141,100.0,81.9,1.17,68.8,9,378.8
CNC,Morning,No,10.98,1123,72.0,50.6,4.6,77.3,107,328.0
CNC,Afternoon,No,22.61,643,85.4,67.2,1.87,40.8,119,290.1
Conveyor,Afternoon,No,23.79,513,46.3,43.8,6.28,51.2,58,251.0
Compressor,Afternoon,No,15.86,1132,100.0,80.6,4.26,50.5,39,385.1
Conveyor,Night,Yes,3.4,777,59.0,51.5,2.5,57.5,68,233.3
Pump,Morning,No,13.92,659,57.6,56.3,1.14,64.2,65,243.8
Compressor,Morning,Yes,16.86,1314,93.4,75.2,1.69,32.1,93,357.0
Compressor,Afternoon,No,15.29,826,100.0,96.5,4.02,27.0,98,381.3
Conveyor,Morning,No,11.24,773,45.7,41.5,1.24,55.4,7,241.9
Conveyor,Afternoon,No,11.74,936,70.2,47.1,0.63,55.4,33,239.8
CNC,Morning,No,18.29,921,68.6,65.0,4.7,61.6,58,317.0
Conveyor,Night,Yes,22.29,689,47.8,43.1,2.12,47.6,35,249.5
Pump,Morning,No,3.92,1001,73.8,57.1,1.11,29.7,101,275.9
Compressor,Night,No,15.02,1479,85.5,106.3,3.43,72.8,91,363.7
Conveyor,Afternoon,No,15.06,691,58.7,44.8,2.23,34.1,102,215.1
Pump,Night,No,3.89,1207,72.2,71.1,1.49,95.2,63,251.1
Compressor,Morning,Yes,1.47,1341,88.4,86.3,1.66,48.3,6,329.8
Conveyor,Morning,No,5.42,675,54.4,37.3,0.41,35.8,27,181.4
Compressor,Afternoon,No,19.96,1300,84.6,96.8,8.0,24.1,109,408.0
Compressor,Morning,No,17.1,1242,100.0,85.7,1.45,57.7,11,350.1
Compressor,Afternoon,No,19.82,1215,80.9,91.6,1.19,56.4,42,351.9
Compressor,Morning,No,12.61,1131,96.9,79.8,4.84,46.2,13,371.1
Conveyor,Afternoon,No,6.83,904,64.2,41.7,0.32,25.5,88,284.5
Compressor,Afternoon,No,23.71,1181,97.3,77.6,1.87,38.5,49,387.5
CNC,Afternoon,No,23.91,1002,62.2,57.4,2.12,24.4,106,308.8
CNC,Night,Yes,7.38,895,89.4,62.1,2.51,19.2,69,272.1
CNC,Afternoon,No,8.08,1011,55.8,49.9,5.57,61.8,60,241.1
Conveyor,Morning,No,23.67,617,56.1,49.1,0.31,63.3,28,294.9
Conveyor,Night,No,21.98,720,48.1,59.5,1.25,37.9,47,236.9
Compressor,Morning,No,6.9,1115,100.0,73.3,1.71,2.8,3,315.5
Conveyor,Night,No,20.62,600,60.9,48.3,2.56,7.8,17,251.2
Conveyor,Morning,No,23.75,533,67.2,46.4,0.33,89.0,53,249.2
Pump,Afternoon,No,19.99,784,65.8,63.3,2.42,55.9,32,265.5
Conveyor,Morning,No,2.55,528,67.3,43.3,0.31,58.2,21,164.5
CNC,Afternoon,No,11.87,1098,84.6,72.4,5.78,49.1,115,305.1
Conveyor,Night,No,19.75,609,61.6,56.9,4.05,23.7,81,297.7
Pump,Night,No,1.46,689,47.1,55.7,2.96,23.3,86,249.1
CNC,Afternoon,Yes,17.67,1033,79.9,68.2,5.43,63.9,91,333.8
CNC,Afternoon,No,14.31,1101,100.0,59.7,0.84,45.9,83,302.2
Compressor,Night,No,13.96,1171,96.5,93.7,4.4,38.4,69,402.3
Conveyor,Afternoon,No,13.6,369,45.5,32.2,0.67,37.4,1,195.2
Compressor,Morning,No,13.37,972,96.4,73.8,3.58,58.3,25,296.7
CNC,Night,Yes,11.54,781,76.1,70.1,0.77,33.7,118,242.6
CNC,Night,No,1.95,851,74.1,61.9,0.59,36.6,32,210.7
Pump,Morning,No,18.91,769,55.4,54.5,1.49,55.1,111,291.7
Conveyor,Afternoon,No,4.8,703,48.1,40.3,1.08,52.3,115,195.3
Compressor,Night,Yes,11.55,1133,82.7,80.7,0.47,25.0,96,317.6
Compressor,Afternoon,No,20.9,1270,71.1,82.6,2.91,66.0,30,355.9
Conveyor,Night,No,7.79,762,54.2,48.4,0.72,65.7,76,248.2
CNC,Afternoon,No,14.6,991,94.6,78.4,7.76,53.5,75,333.8
Pump,Morning,No,14.68,991,45.7,58.6,0.61,43.1,71,189.1
CNC,Afternoon,Yes,22.04,1073,59.2,59.9,0.7,57.4,118,283.8
Pump,Night,No,2.06,572,53.5,57.4,1.82,10.3,45,217.7
Conveyor,Morning,Yes,14.27,848,47.6,41.7,3.23,46.5,12,226.9
Compressor,Morning,No,14.08,1577,82.8,73.8,4.29,42.2,104,358.4
Pump,Morning,No,4.87,785,64.7,58.3,3.28,8.5,43,242.7
Compressor,Night,No,8.79,1606,83.4,67.9,4.3,9.5,20,324.7
Compressor,Morning,No,13.28,889,100.0,84.7,1.87,51.8,98,344.9
Pump,Night,No,9.49,888,55.8,55.7,1.73,50.7,50,222.6
CNC,Night,Yes,13.68,799,29.2,61.8,3.23,38.4,119,176.2
Conveyor,Morning,Yes,21.54,647,64.1,41.0,1.55,57.0,104,250.2
Compressor,Night,No,16.72,891,100.0,98.0,1.65,18.2,70,347.3
CNC,Afternoon,No,6.41,1022,26.9,68.7,0.43,13.5,57,200.3
Compressor,Morning,Yes,8.74,971,88.0,68.9,5.26,52.0,6,327.9
Compressor,Night,No,9.76,1490,100.0,79.6,3.23,43.8,62,350.5
CNC,Morning,No,7.25,805,72.7,72.6,2.6,16.0,27,245.3
Pump,Night,No,18.97,880,72.3,64.8,0.9,60.7,44,314.4
Conveyor,Afternoon,No,15.3,519,53.3,42.0,1.93,34.9,74,255.4
Compressor,Afternoon,No,7.27,918,50.4,80.3,0.7,58.3,94,247.1
Compressor,Night,No,20.71,1211,48.8,77.2,3.99,40.8,43,339.3
CNC,Morning,No,12.28,1260,90.7,73.6,1.27,40.3,53,293.3
CNC,Morning,No,13.52,1026,99.8,58.3,3.06,23.0,109,354.8
Conveyor,Afternoon,No,3.88,618,44.6,48.0,1.42,62.3,82,184.9
CNC,Afternoon,No,7.21,842,81.2,56.0,0.71,55.6,64,256.1
Conveyor,Morning,No,22.9,874,51.9,45.7,2.86,36.7,13,243.2
CNC,Morning,No,13.1,719,71.6,63.8,2.17,90.3,14,310.6
Compressor,Afternoon,No,23.17,1198,79.6,83.5,3.26,67.8,63,382.3
CNC,Afternoon,No,17.39,1314,77.9,79.0,0.95,35.2,94,357.3
Conveyor,Morning,Yes,18.53,497,43.6,53.0,0.75,61.4,39,193.9
Compressor,Afternoon,Yes,19.52,1264,89.5,102.1,5.49,24.2,88,413.1
Compressor,Night,No,2.03,948,73.6,100.6,5.76,23.5,64,348.8
Pump,Night,No,8.34,865,40.8,54.2,4.97,46.1,66,243.2
Compressor,Night,No,18.38,1514,93.8,95.7,4.49,57.7,6,411.1
Compressor,Morning,Yes,17.45,1802,88.5,63.4,4.54,16.7,116,404.6
Compressor,Morning,No,23.83,1491,100.0,92.3,1.02,42.0,115,438.1
Pump,Afternoon,No,18.66,843,64.1,59.3,1.93,60.5,117,290.2
CNC,Morning,No,21.6,911,77.2,66.4,1.41,68.8,56,288.4
Compressor,Afternoon,No,8.16,1000,84.3,101.0,2.97,64.9,42,324.8
Conveyor,Morning,No,10.46,440,48.4,54.3,2.09,27.3,25,175.3
Pump,Afternoon,Yes,14.98,979,67.6,56.0,0.45,14.1,39,215.3
Pump,Night,No,19.61,448,51.8,64.5,2.13,41.9,98,227.0
CNC,Afternoon,No,13.56,1118,83.7,71.0,1.3,32.4,77,291.3
CNC,Night,No,16.21,1003,79.3,64.4,2.86,44.9,8,290.3
CNC,Afternoon,No,16.65,1312,69.1,61.5,0.78,72.9,10,299.8
Compressor,Night,No,7.91,1124,83.3,65.6,3.52,20.6,15,271.0
CNC,Night,No,15.8,1138,74.8,59.5,3.16,55.0,1,349.1
Conveyor,Afternoon,No,13.67,804,45.7,49.6,0.45,57.7,112,227.3
Pump,Morning,No,13.28,888,68.2,53.0,2.44,30.4,102,315.8
Compressor,Afternoon,No,1.06,1132,100.0,85.9,4.11,44.2,117,291.5
Compressor,Afternoon,No,14.46,1190,100.0,74.8,1.43,62.1,52,325.5
Pump,Afternoon,No,20.22,512,67.9,54.9,0.99,46.3,6,240.5
Pump,Afternoon,No,18.02,878,43.8,58.5,1.01,80.4,44,243.7
Pump,Night,No,22.19,863,79.2,55.6,7.93,96.5,25,340.5
Conveyor,Night,No,14.12,531,64.0,54.9,3.31,53.1,4,284.8
CNC,Afternoon,Yes,16.11,1019,78.6,70.5,5.67,21.4,31,330.8
Conveyor,Night,No,3.22,763,48.5,58.7,0.18,43.2,119,182.2
CNC,Night,No,22.43,985,58.1,69.7,2.18,32.5,92,312.3
Compressor,Night,No,18.2,744,92.1,104.9,10.55,16.8,111,385.0
CNC,Night,No,7.1,1279,75.8,77.4,1.39,57.3,51,241.3
Pump,Morning,No,2.28,729,65.1,51.9,0.85,36.7,11,180.3
Compressor,Morning,No,14.03,1252,97.2,82.3,3.3,39.1,82,353.4
Conveyor,Night,No,1.05,444,38.7,46.8,0.72,17.4,119,141.8
Pump,Afternoon,No,2.55,539,67.2,48.3,1.92,33.8,42,164.4
Compressor,Morning,No,4.49,1062,80.5,82.9,3.11,51.5,61,292.8
Pump,Night,No,12.07,739,62.2,55.8,1.33,46.0,102,255.9
CNC,Afternoon,No,15.11,915,68.9,71.0,1.62,48.2,67,325.9
Conveyor,Morning,No,13.6,606,46.5,52.7,1.49,26.0,70,225.3
Conveyor,Night,No,21.4,736,44.0,47.3,5.59,16.9,118,217.5
Conveyor,Afternoon,No,22.24,711,49.2,40.2,0.99,65.3,99,291.0
Conveyor,Morning,No,14.27,837,43.5,50.7,2.65,70.7,100,284.7
Conveyor,Morning,No,10.3,733,55.0,46.3,0.4,26.1,32,205.4
Compressor,Night,No,18.0,1068,100.0,87.2,1.31,44.7,49,352.3
Pump,Morning,Yes,1.44,845,71.7,53.1,3.95,14.4,108,234.5
Pump,Night,Yes,22.64,929,70.2,63.1,2.43,79.0,15,291.3
Pump,Morning,No,15.79,1128,53.8,67.2,2.13,39.1,62,245.0
Pump,Afternoon,No,1.85,696,63.4,52.0,2.11,30.8,23,201.1
Compressor,Night,No,20.27,1373,100.0,110.8,3.6,40.7,51,444.2
Conveyor,Afternoon,No,3.52,581,53.7,46.1,0.71,64.9,17,166.2
Compressor,Afternoon,No,19.92,1293,95.7,72.4,2.1,17.1,97,378.9
Compressor,Afternoon,Yes,22.3,929,96.1,82.9,3.15,43.0,114,434.1
CNC,Morning,No,21.16,1145,75.5,73.6,1.08,32.2,48,306.3
